experiment	commit	metric	status	description
E1-runtime-binding-baseline	113e54b	accuracy=0.200;unsafe_accepts=4/4	baseline	Valid control passed; all four missing or mismatched identity mutations were unsafely accepted.
E1-runtime-binding	795273f	accuracy=1.000;unsafe_accepts=0/4	keep	Exact scene-id and resolved-digest checks; valid control retained; focused and root regressions pass.
E1-real-sapien-replay	00e4ae9	pass=1/1;fail_checks=0;video=120/100_unique	keep	Fresh can-on-plate seed-7 RoboTwin/SAPIEN replay consumed by the new binding gates.
E1b-pending-review-baseline	bbfa19d	pending_accuracy=0.000;pass_control=1.000	baseline	Pending review was mislabeled final/pass on all four fields and returned exit code 0.
E3-upstream-mechanism-tests	7ba73d3	20_passed;4_skipped;0_failed	partial_reproduction	Pinned NumPy/SciPy environment; simulator/perception integrations remain explicitly skipped.
E1b-pending-review-integrity	fa9121f	pending_accuracy=1.000;pass_control=1.000	keep	Pending review is a nonfinal review candidate with exit 2; genuine pass remains final with exit 0.
E2-heldout-validated-memory	9540dd3	mHRC=1.000;delta_vs_reactive=0.500;ci95=[0.500,0.500]	keep_synthetic_only	120 held-out fault cases; zero unsafe publish, clean regression, or budget violation; no simulator claim.
E1c-pending-entrypoints-baseline	1f1064b	accuracy=0.625;batch_pending=pass_exit0;critic_pending=exit0	baseline	Pass controls were correct; pending critic and batch aggregate still returned success, and batch minted pass.
E1c-pending-entrypoints	bd4f64f	accuracy=1.000;pass_control=1.000	keep	Critic and batch pending paths return review-required exit 2; batch aggregate cannot mint pass.
E1c-legacy-candidate-promotion	fda13b8	focused_paths=3/3	keep	Legacy placement starts as candidate, retains candidate on pre-review crash, and uses per-file atomic rename only after visual pass.
E1d-static-only-baseline	52fef1e	accuracy=0.222;correct=2/9;fake_pass_fields=3	baseline	Default no-smoke path minted final_placement, accept_final, pass_smoke, and pass_visual_review although neither review ran.
E1d-probe-lifetime-correction	ed5197b	checks_unchanged=9;production_unchanged=true	method_fix	Probe now samples temporary artifacts before cleanup; expected decisions and baseline behavior are unchanged.
E1d-static-only-integrity	72b35c4	accuracy=1.000;correct=9/9;focused_stage5=10_passed	keep	Default no-smoke path writes a nonfinal static candidate with smoke/visual not_run; exit 0 means static-stage completion only.
E1e-compile-catalog-snapshot-baseline	5915315	mutation_guard=0/1;outside_root_consumed=true	baseline	After a valid root check, replacing the original catalog locator changed the assets consumed by compile despite the recorded CAS snapshot.
E1e-compile-catalog-snapshot	910ccb1	mutation_guard=1/1;harness=74_passed;coverage=100%	keep	The handler resolves and executes the digest-verified CAS catalog snapshot; the original mutable locator is no longer a compiler input.
V4-clean-source-verification	51447da	root=collection_error;importlib=184_passed/1_failed;harness=76_passed;coverage=99.88%	not_green	Clean committed-source diagnosis: duplicate test module collection, CLI failure-stage drift, and one uncovered production branch remain; this does not change E0-E2 or E1e keep decisions.
V5-final-source-verification	148001d	root=collection_error;importlib=201_passed/0_failed;harness=76_passed;coverage=99.88%	partially_improved	The CLI failure-stage drift is closed; default test collection and one deterministic Harness coverage branch remain open. This is an independent follow-on, not an ASPIRE experiment result.
